label,formula,atoms_before,atoms_after,reduction_ratio,sg_number,sg_symbol,success
mp-729891,H36 Se6 N8 O24,74,37,0.5,2,P-1,True
mp-729904,V16 Se16 O104,136,35,0.25735294117647056,15,C2/c,True
mp-730197,Dy14 Pb3 S24,41,41,1.0,1,P1,True
mp-730258,Cs4 Hg2 C4 S2 I8 O2,22,11,0.5,2,P-1,True
mp-730380,Ce8 S12 O64,84,21,0.25,14,P21/c,True
mp-730563,Na6 Mg6 In2 S12 O48,74,74,1.0,1,P1,True
mp-731539,Na2 Mg1 H4 S2 O8,17,9,0.5294117647058824,2,P-1,True
mp-731726,S8 N12 O32,52,28,0.5384615384615384,3,P2,True
mp-731744,Fe2 S8 Br8 N10,28,14,0.5,9,Cc,True
mp-731792,Ag8 S4 N8 O8,28,7,0.25,14,P21/c,True
mp-731948,K8 Re8 C24 S8 N24 O8,80,10,0.125,88,I41/a,True
mp-731953,K2 Fe1 H4 S2 O10,19,10,0.5263157894736842,2,P-1,True
mp-731997,Cd1 C12 S4 N6,23,12,0.5217391304347826,2,P-1,True
mp-732121,La2 S4 N2 O16,24,12,0.5,7,Pc,True
mp-732207,Be2 S2 O16,20,4,0.2,120,I-4c2,True
mp-732271,Sn4 C4 S4 N8 Cl8,28,7,0.25,14,P21/c,True
mp-732278,C4 S4 N8,16,6,0.375,26,Pmc21,True
mp-732296,K4 S4 O24,32,8,0.25,15,C2/c,True
mp-732347,Tl4 Te2 P4 O28,38,10,0.2631578947368421,14,P21/c,True
mp-733386,Sr2 U2 Se4 O16,24,12,0.5,2,P-1,True
mp-733454,Pb2 C4 S4 Br4 N8,22,11,0.5,4,P21,True
mp-733551,Cd8 S12 N8 O48,76,9,0.11842105263157894,198,P213,True
mp-733624,K6 H4 S4 N2 O14,30,15,0.5,2,P-1,True
mp-733972,Ba2 C4 S4 N4 O4,18,9,0.5,12,C2/m,True
mp-733973,Na4 H20 S8 O36,68,17,0.25,14,P21/c,True
mp-734025,Na4 Se2 O10,16,5,0.3125,63,Cmcm,True
mp-734027,S8 N12 O32,52,52,1.0,1,P1,True
mp-734034,V2 H20 S2 O20,44,14,0.3181818181818182,31,Pmn21,True
mp-734059,S8 N8 O24,40,5,0.125,61,Pbca,True
mp-734141,Cu4 C8 S8 N16,36,9,0.25,33,Pna21,True
mp-734160,Na2 H10 S6 O24,42,21,0.5,2,P-1,True
mp-734306,Na4 Te4 H8 O14,30,15,0.5,2,P-1,True
mp-734321,Pr4 S6 O40,50,25,0.5,9,Cc,True
mp-734425,Pt4 S16 N16,36,9,0.25,14,P21/c,True
mp-734582,C16 S48,64,16,0.25,14,P21/c,True
mp-734937,Na5 Te2 H36 Au1 O28,72,37,0.5138888888888888,2,P-1,True
mp-734944,Co8 H16 S32 N32,88,22,0.25,14,P21/c,True
mp-735027,V4 S8 N4 O36,52,13,0.25,19,P212121,True
mp-735625,Co4 H88 S8 N20 O36,156,39,0.25,19,P212121,True
mp-735777,Pr2 C38 S12 N18 O4,74,37,0.5,4,P21,True
mp-736245,La2 S8 N10 O32,52,26,0.5,2,P-1,True
mp-736257,Te2 As4 C96 Cl8,110,28,0.2545454545454545,14,P21/c,True
mp-740871,Ba4 Zn4 C16 S16 N16 O28,84,22,0.2619047619047619,82,I-4,True
mp-743270,Mo30 Se38,68,18,0.2647058823529412,15,C2/c,True
mp-744242,Na4 Te1 Mo6 H40 N2 O40,93,47,0.5053763440860215,2,P-1,True
mp-744309,Ni2 H40 Se4 N4 O28,78,20,0.2564102564102564,14,P21/c,True
mp-744689,Co4 H72 C24 S4 O40,144,36,0.25,14,P21/c,True
mp-746791,Fe4 H40 S8 N4 O44,100,25,0.25,14,P21/c,True
mp-785962,Rb8 S8 O28,44,22,0.5,2,P-1,True
mp-7932,U2 Si2 S2,6,3,0.5,129,P4/nmm,True
mp-795584,Rb4 Al4 S8 O80,96,7,0.07291666666666667,205,Pa-3,True
mp-798760,Cr1 H10 S2 N4 O8,25,13,0.52,2,P-1,True
mp-799387,Li4 Fe3 Te1 O8,16,16,1.0,1,P1,True
mp-801887,Na2 Fe4 H6 S4 O16,32,17,0.53125,2,P-1,True
mp-805196,Li2 Mg1 Cr3 S6 O24,36,36,1.0,1,P1,True
mp-818232,K4 Fe4 S8 O48,64,16,0.25,14,P21/c,True
mp-818262,Mo6 Se2 N4 O24,36,8,0.2222222222222222,173,P63,True
